id;nombre;correo;ciudad;direccion;telefono;instagram;descripcion
1;Fundacion Patitas Felices;fpf@gmail.com;Bogotá D.C;Calle 23 # 45 C 20;3217564897;FunPatitasFelices;Una fundación dedicada a rescatar, cuidar y encontrar hogares amorosos para mascotas en situación de calle. Promueve la adopción responsable y la educación sobre bienestar animal.
2;Fundacion Huellitas Felices;funhap@gmail.com;Medellin;Calle 23 # 45 C 21;3217564231;FunHuellitasFelices;Esta organización trabaja en la recuperación de animales abandonados y maltratados, brindándoles una segunda oportunidad a través de programas de adopción y apoyo veterinario.
3;Amigos de Cuatro Patas;4patas@gmail.com;Calí;Calle 23 # 45 C 22;3215467894;AmiCuatroPatas;Fundada por amantes de los animales, esta fundación conecta a mascotas rescatadas con familias que buscan darles un hogar lleno de cariño y cuidados.
4;Rescate y Amor;r&a@gmail.com;Melgar;Calle 23 # 45 C 2;3217420237;ResyAmor;Con un enfoque en el rescate de mascotas en situación crítica, esta fundación organiza jornadas de adopción y fomenta la conciencia sobre la importancia de esterilización y vacunación.
5;Manos por Mascotas;manosxmascotas@gmail.com;Bogotá D.C;Calle 23 # 45 C 23;3210007777;ManporMascotas;Especializada en la adopción de perros y gatos, esta fundación ofrece refugio temporal y rehabilitación a mascotas, asegurándose de que encuentren el hogar perfecto.
6;Salva una Vida Animal;salvaVida@gmail.com;Bogotá D.C;Calle 23 # 45 C 24;3217894561;SalVidaAnimal;Un grupo de voluntarios comprometidos con la protección animal, ofreciendo cuidados médicos y psicológicos a mascotas rescatadas antes de ser puestas en adopción.
7;Guardianes Peludos;gp@gmail.com;Medellin;Calle 23 # 45 C 2;3216549870;GuaGuardianesPeludos;Fundada para combatir el abandono y el maltrato animal, esta fundación se enfoca en la adopción de perros y gatos, promoviendo la tenencia responsable y el respeto por los animales.
8;Caminos de Pata;caminosDePata@gmail.com;Calí;Calle 23 # 45 C 25;3214527832;CamdePata;A través de programas de rescate y adopción, esta fundación se enfoca en educar a la sociedad sobre los derechos de los animales y cómo pueden contribuir a mejorar sus vidas.
9;Corazones Adoptivos;Camascotas@gmail.com;Barranquilla;Calle 23 # 45 C 26;3210567891;CorCorazonesAdoptivos;Esta fundación se dedica a encontrar hogares para mascotas abandonadas en zonas rurales y urbanas, brindándoles atención médica y el amor que merecen.
10;Patitas del Corazon;patitasCorazon@gmail.com;Medellin;Calle 23 # 45 C 27;3217890264;PatdelCorazon;Promueve la adopción de mascotas como una forma de brindar amor y recibir lealtad incondicional. Ofrece programas de rehabilitación para animales rescatados y educación sobre el cuidado responsable.
